timestamp,$75000 or above,$80000 or above,$90000 or above,$100000 or above,$150000 or above,$250000 or above,$1000000 or above
2024-03-18T12:13:00Z,,,65.00,,,,
2024-03-18T12:15:00Z,86.00,78.00,65.00,54.00,,,
2024-03-18T12:25:00Z,86.00,78.00,61.00,54.00,,,
2024-03-18T12:26:00Z,86.00,78.00,59.00,48.00,18.00,,
2024-03-18T13:43:00Z,86.00,78.00,59.00,48.00,18.00,,
2024-03-18T16:01:00Z,77.61,68.75,53.00,40.81,18.00,,
2024-03-18T16:49:00Z,77.61,68.75,53.00,40.81,16.00,,
2024-03-18T16:55:00Z,71.57,63.57,53.00,40.81,16.00,,
2024-03-18T17:09:00Z,71.57,63.57,53.00,40.00,16.00,,
2024-03-18T17:21:00Z,71.57,63.57,53.00,36.00,16.00,,
2024-03-18T17:22:00Z,71.57,57.00,45.00,36.00,16.00,,
2024-03-18T17:26:00Z,71.57,57.00,51.00,36.00,16.00,,
2024-03-18T18:06:00Z,71.57,57.00,46.11,36.00,16.00,,
2024-03-18T20:07:00Z,71.57,57.00,46.11,36.00,16.00,8.00,
2024-03-18T21:03:00Z,72.00,57.00,46.11,36.00,16.00,8.00,
2024-03-18T21:09:00Z,72.00,57.00,46.11,36.00,16.00,8.00,
2024-03-18T21:10:00Z,72.00,57.00,46.11,36.00,16.00,8.00,
2024-03-18T21:17:00Z,72.00,57.00,46.11,36.00,16.00,8.00,
2024-03-18T21:22:00Z,72.00,57.00,46.11,36.00,16.00,8.00,
2024-03-18T21:55:00Z,72.00,64.27,46.11,36.00,16.00,8.00,
2024-03-18T22:15:00Z,72.00,64.27,48.00,36.00,16.00,8.00,
2024-03-18T23:02:00Z,72.00,61.00,48.00,36.00,16.00,8.00,
2024-03-18T23:40:00Z,72.00,61.00,48.00,40.66,16.00,8.00,
2024-03-18T23:50:00Z,72.00,61.00,48.00,40.66,16.00,9.00,
2024-03-19T00:38:00Z,73.00,61.00,48.00,40.66,16.00,9.00,
2024-03-19T00:51:00Z,69.10,61.00,48.00,40.66,16.00,9.00,
2024-03-19T00:52:00Z,69.10,61.00,48.00,38.00,16.00,9.00,
2024-03-19T01:06:00Z,74.23,61.00,48.00,38.00,16.00,9.00,
2024-03-19T01:16:00Z,74.23,61.00,48.00,43.81,16.00,9.00,
2024-03-19T01:17:00Z,74.23,61.00,48.00,43.81,16.00,9.00,
2024-03-19T01:20:00Z,74.23,66.86,48.00,43.81,16.00,9.00,
2024-03-19T01:23:00Z,74.23,66.86,48.00,43.81,13.00,9.00,
2024-03-19T01:24:00Z,74.23,66.86,48.00,38.00,13.00,9.00,
2024-03-19T01:26:00Z,74.23,66.86,48.00,38.00,13.00,9.00,
2024-03-19T01:51:00Z,74.23,66.86,48.00,38.00,16.36,9.00,
2024-03-19T02:00:00Z,71.00,66.86,48.00,38.00,16.36,9.00,
2024-03-19T02:01:00Z,71.00,64.00,50.00,38.00,16.36,9.00,
2024-03-19T02:09:00Z,71.00,64.00,54.00,38.00,16.36,9.00,
2024-03-19T02:17:00Z,71.00,66.45,54.00,38.00,16.36,9.00,
2024-03-19T02:35:00Z,71.00,66.45,54.00,38.00,16.36,9.00,
2024-03-19T02:37:00Z,71.00,67.00,54.00,38.00,16.36,9.00,
2024-03-19T02:39:00Z,71.00,67.00,54.00,38.00,16.36,9.00,
2024-03-19T03:14:00Z,71.00,67.00,54.00,38.00,16.36,9.00,
2024-03-19T03:27:00Z,71.00,67.00,54.00,38.00,18.00,9.00,
2024-03-19T03:39:00Z,71.00,63.10,54.00,38.00,18.00,9.00,
2024-03-19T03:47:00Z,68.33,62.03,50.00,38.00,18.00,9.00,
2024-03-19T03:49:00Z,68.33,62.03,50.00,38.00,18.00,7.07,
2024-03-19T03:53:00Z,68.33,62.03,44.57,38.00,18.00,7.07,
2024-03-19T03:54:00Z,68.33,62.03,44.57,37.00,18.00,7.07,
2024-03-19T12:15:00Z,65.46,62.03,44.57,37.00,18.00,7.07,
2024-03-19T13:08:00Z,65.46,62.03,44.57,37.00,16.04,7.07,
2024-03-19T14:07:00Z,64.66,62.03,44.57,37.00,16.04,7.07,
2024-03-19T14:47:00Z,64.66,57.75,44.57,37.00,16.04,7.07,
2024-03-19T15:05:00Z,63.00,57.75,44.57,37.00,16.04,7.07,
2024-03-19T15:19:00Z,65.00,57.75,44.57,37.00,16.04,7.07,
2024-03-19T15:37:00Z,65.00,57.75,44.57,37.00,16.00,7.07,
2024-03-19T15:41:00Z,65.00,57.75,44.57,37.00,17.00,7.07,
2024-03-19T15:57:00Z,67.78,57.75,44.57,37.00,17.00,7.07,
