timestamp,$75000 or above,$80000 or above,$90000 or above,$100000 or above,$150000 or above,$250000 or above,$1000000 or above
2024-04-24T16:14:00Z,89.50,82.00,69.72,78.18,94.42,98.00,99.00
2024-04-24T17:44:00Z,89.50,82.00,69.72,78.18,94.42,98.00,4.00
2024-04-24T17:51:00Z,69.35,82.00,69.72,78.18,94.42,5.00,4.00
2024-04-24T17:52:00Z,69.35,60.33,45.50,35.07,12.25,5.00,4.00
2024-04-24T19:53:00Z,69.35,60.33,43.00,35.07,12.25,5.00,4.00
2024-04-24T19:54:00Z,69.35,60.33,43.00,32.00,12.25,5.00,4.00
2024-04-24T22:38:00Z,69.35,60.33,43.00,32.00,12.25,5.00,4.00
2024-04-24T22:39:00Z,69.35,60.33,43.00,32.00,12.25,5.00,4.00
2024-04-25T01:22:00Z,69.35,60.33,43.00,32.00,12.25,5.00,4.00
2024-04-25T01:23:00Z,69.35,60.33,43.00,32.00,12.25,5.00,4.00
2024-04-25T02:21:00Z,69.35,63.00,43.00,32.00,12.25,5.00,4.00
2024-04-25T04:06:00Z,69.35,63.00,43.00,32.00,12.25,5.00,4.00
2024-04-25T04:07:00Z,69.35,60.25,43.00,32.00,12.25,5.00,4.00
2024-04-25T12:09:00Z,67.82,60.25,43.00,32.00,12.25,5.00,4.00
2024-04-25T12:10:00Z,67.82,60.25,43.00,32.00,12.25,5.00,4.00
2024-04-25T13:33:00Z,67.82,60.25,45.00,32.00,12.25,5.00,4.00
2024-04-25T14:43:00Z,71.50,60.25,45.00,32.00,12.25,5.00,4.00
2024-04-25T14:44:00Z,71.50,62.85,45.00,35.00,12.25,5.00,4.00
2024-04-25T14:48:00Z,71.50,62.85,46.00,35.00,12.25,5.00,4.00
2024-04-25T15:04:00Z,71.00,62.00,46.00,33.00,12.25,5.00,4.00
2024-04-25T15:34:00Z,71.00,62.00,46.00,33.00,12.25,5.00,4.00
2024-05-01T01:43:00Z,50.00,62.00,46.00,33.00,12.25,5.00,4.00
2024-05-01T03:23:00Z,50.00,62.00,46.00,33.00,12.25,5.00,9.00
2024-05-01T20:35:00Z,55.66,62.00,46.00,33.00,12.25,5.00,9.00
2024-05-01T20:36:00Z,55.66,49.00,36.15,26.63,7.50,5.00,9.00
2024-05-01T21:54:00Z,55.66,48.50,36.15,24.00,7.50,5.00,9.00
2024-05-01T23:46:00Z,55.66,48.50,36.15,24.00,4.00,5.00,9.00
2024-05-01T23:53:00Z,55.66,55.00,36.15,24.00,4.00,5.00,9.00
2024-05-02T17:31:00Z,55.66,56.00,36.15,24.00,4.00,5.00,9.00
2024-05-03T21:55:00Z,72.00,56.00,36.15,24.00,4.00,5.00,9.00
2024-05-04T20:27:00Z,72.00,56.00,45.99,34.00,4.00,5.00,9.00
2024-05-07T19:47:00Z,70.72,56.00,45.99,34.00,4.00,5.00,9.00
2024-05-07T19:48:00Z,70.72,59.92,46.66,33.00,10.80,5.00,9.00
2024-05-07T23:35:00Z,70.80,59.92,46.66,33.00,10.80,5.00,9.00
2024-05-07T23:36:00Z,70.80,61.40,46.69,33.00,10.00,5.00,9.00
2024-05-08T14:18:00Z,70.50,61.40,46.85,33.00,10.00,5.00,9.00
2024-05-08T14:19:00Z,70.50,61.00,46.85,33.00,10.50,5.00,9.00
2024-05-08T17:38:00Z,70.50,61.00,46.85,33.00,10.50,5.00,4.00
2024-05-08T17:42:00Z,74.00,61.00,46.85,33.00,10.50,5.00,4.00
2024-05-08T17:43:00Z,70.00,61.00,46.91,33.00,10.00,5.00,4.00
2024-05-09T12:05:00Z,70.00,61.00,46.91,33.00,10.00,5.00,4.00
2024-05-09T12:10:00Z,70.00,61.00,46.91,33.00,1.00,5.00,4.00
2024-05-13T00:23:00Z,70.00,61.00,46.91,33.00,11.90,5.00,4.00
2024-05-13T01:03:00Z,70.00,61.00,46.91,35.00,11.90,5.00,4.00
2024-05-13T01:15:00Z,70.00,61.00,50.72,35.00,11.90,5.00,4.00
2024-05-13T01:56:00Z,73.00,61.00,50.72,35.00,11.90,5.50,4.00
2024-05-18T01:11:00Z,73.00,61.00,1.00,35.00,11.90,5.50,4.00
2024-05-20T17:22:00Z,73.00,61.00,1.00,35.00,11.90,5.50,4.00
2024-05-20T17:27:00Z,99.00,99.00,99.00,27.00,11.90,5.00,4.00
2024-05-21T17:42:00Z,99.00,99.00,99.00,27.00,11.90,5.00,4.00
2024-05-21T17:47:00Z,99.00,99.00,99.00,27.00,11.90,5.00,4.00
2024-05-23T21:10:00Z,99.00,99.00,99.00,27.00,11.90,5.00,4.00
2024-05-23T21:11:00Z,99.00,99.00,99.00,44.00,11.90,5.00,4.00
2024-05-24T16:27:00Z,99.00,99.00,99.00,44.00,11.90,5.00,4.00
2024-05-24T16:28:00Z,99.00,99.00,99.00,21.33,11.90,5.00,4.00
2024-05-27T16:19:00Z,86.00,99.00,99.00,21.33,11.90,5.00,4.00
2024-05-27T16:20:00Z,86.00,76.00,57.00,42.36,13.00,5.00,4.00
2024-05-28T12:37:00Z,84.33,76.00,57.00,42.36,13.00,5.00,4.00
2024-05-28T12:38:00Z,84.33,76.00,57.00,42.66,13.14,5.00,4.00
2024-05-30T14:20:00Z,84.33,76.00,57.00,42.66,13.14,5.00,4.00
2024-05-30T14:24:00Z,84.33,76.00,57.00,42.66,14.00,5.00,4.00
2024-05-30T14:25:00Z,84.33,76.00,57.00,39.50,8.00,5.00,4.00
2024-05-31T16:18:00Z,84.33,76.00,57.00,39.50,8.00,5.00,4.00
2024-05-31T16:22:00Z,84.33,76.00,57.00,39.50,8.00,5.00,4.00
2024-05-31T16:23:00Z,84.33,76.00,57.00,38.00,13.14,5.00,4.00
2024-05-31T20:14:00Z,84.33,76.00,57.00,38.00,13.14,5.00,4.00
2024-05-31T20:18:00Z,84.33,76.00,57.00,38.00,13.00,5.00,4.00
2024-06-03T15:51:00Z,84.33,74.00,53.50,38.00,13.00,5.00,4.00
2024-06-03T16:00:00Z,84.33,74.00,49.75,38.00,13.00,5.00,4.00
2024-06-03T18:05:00Z,84.33,74.00,51.00,38.00,13.00,5.00,4.00
2024-06-04T03:08:00Z,77.00,74.00,51.00,38.00,13.00,5.00,4.00
2024-06-10T12:56:00Z,77.00,74.00,51.00,38.00,13.00,5.00,11.00
2024-06-10T13:00:00Z,80.00,74.00,51.00,38.00,13.00,11.00,11.00
2024-06-10T13:01:00Z,80.00,64.22,43.00,18.00,13.00,11.00,11.00
2024-06-10T16:32:00Z,80.00,64.22,43.00,18.00,13.00,11.00,11.00
2024-06-11T23:22:00Z,74.00,64.22,43.00,18.00,13.00,11.00,11.00
2024-06-12T00:13:00Z,74.00,64.22,43.00,30.00,13.00,11.00,11.00
