timestamp,41.9 or below,42.0 to 42.2,42.3 to 42.5,42.6 to 42.8,42.9 to 43.1,43.2 to 43.4,43.5 to 43.7,43.8 or above
2026-01-24T05:04:00Z,1.00,,,,,,,
2026-01-24T11:05:00Z,1.00,,,,,9.19,,
2026-01-24T14:25:00Z,1.00,,,,,16.89,,
2026-01-24T16:24:00Z,7.00,,,,,16.89,,
2026-01-24T18:39:00Z,7.00,,,,18.00,16.89,,
2026-01-24T22:28:00Z,6.77,,,,18.00,16.89,,
2026-01-24T23:36:00Z,6.77,,31.00,,18.00,16.89,,
2026-01-24T23:42:00Z,11.66,,31.00,,18.00,16.89,,
2026-01-25T02:06:00Z,6.00,14.00,32.00,47.00,18.00,16.89,1.00,1.00
2026-01-25T05:48:00Z,13.00,14.00,32.00,47.00,18.00,16.89,1.00,1.00
2026-01-25T05:49:00Z,9.00,14.00,32.00,47.00,18.00,16.89,1.00,1.00
2026-01-25T05:50:00Z,6.00,14.00,31.00,31.00,18.00,5.00,1.00,1.00
2026-01-25T07:36:00Z,8.00,14.00,31.00,31.00,18.00,5.00,1.00,1.00
2026-01-25T10:26:00Z,8.00,14.00,31.00,31.00,18.00,5.00,1.00,4.52
2026-01-25T10:27:00Z,6.12,14.00,30.00,30.00,17.00,4.00,2.00,3.00
2026-01-25T10:29:00Z,6.12,14.00,30.00,30.00,19.00,4.00,2.00,3.00
2026-01-25T10:31:00Z,6.12,14.00,30.00,30.00,19.00,4.00,2.00,3.00
2026-01-25T10:44:00Z,8.16,14.00,30.00,30.00,19.00,4.00,2.00,3.00
2026-01-25T13:52:00Z,8.16,14.00,30.00,30.00,18.25,4.00,2.00,3.00
2026-01-25T14:43:00Z,8.93,14.00,30.00,30.00,18.25,4.00,2.00,3.00
2026-01-25T15:13:00Z,8.93,15.00,37.20,29.83,18.25,4.00,2.00,3.00
2026-01-25T15:54:00Z,8.93,14.00,37.20,29.83,18.25,4.00,2.00,3.00
2026-01-25T17:23:00Z,8.93,15.00,37.20,29.83,18.25,4.00,2.00,3.00
2026-01-25T18:04:00Z,8.93,15.00,37.20,29.83,21.00,4.00,2.00,3.00
