timestamp,39.9 or below,40.0 to 40.9,41.0 to 41.9,42.0 to 42.9,43.0 to 43.9,44.0 to 44.9,45.0 to 45.9,46.0 to 46.9,47.0 to 47.9,48.0 to 48.9,49.0 to 50.0,50.1 or above
2025-09-18T05:09:00Z,,,,6.00,,,,,,,,
2025-09-18T14:49:00Z,,,,6.00,,17.84,,,,,,
2025-09-19T17:14:00Z,3.00,,,6.00,,17.84,,,,,,
2025-09-19T21:20:00Z,3.00,,,6.00,,17.84,,,,,,
2025-09-22T15:59:00Z,3.00,,3.00,6.00,,17.84,,,,,,
2025-09-23T14:53:00Z,3.00,,3.00,6.00,,17.84,,30.90,,,,
2025-09-23T21:17:00Z,3.00,,3.00,6.00,,17.84,20.24,30.90,,,,
2025-09-25T01:24:00Z,3.00,,3.00,6.00,10.00,17.84,20.24,30.90,,,,
2025-09-25T02:02:00Z,3.00,,3.00,6.00,10.00,17.84,22.00,30.90,,,,
2025-09-25T14:43:00Z,3.00,,3.79,6.00,10.00,17.84,22.00,30.90,,,,
2025-09-26T02:36:00Z,3.00,,3.79,6.00,10.00,17.84,22.00,30.90,,,,
2025-09-26T20:22:00Z,3.00,,3.79,6.00,10.00,17.84,22.00,30.90,,,,
2025-09-27T05:04:00Z,3.63,,3.79,6.00,10.00,17.84,22.00,30.90,,,,
2025-09-27T08:02:00Z,1.00,,3.79,6.00,10.00,17.84,22.00,30.90,,,,
2025-09-28T02:39:00Z,1.00,,3.79,6.00,10.00,14.00,22.00,30.90,,,,
2025-09-28T03:08:00Z,3.00,,3.79,6.00,10.00,14.00,22.00,30.90,,,,
2025-09-29T18:42:00Z,3.00,,3.79,6.00,10.00,14.00,22.00,30.90,14.00,,,
2025-09-30T19:31:00Z,3.00,,3.79,6.00,10.00,14.00,22.00,21.33,14.00,,,
2025-10-01T05:36:00Z,4.37,,3.79,6.00,10.00,14.00,22.00,21.33,14.00,,,
2025-10-02T02:10:00Z,5.00,,3.79,6.00,10.00,14.00,22.00,21.33,14.00,,,
2025-10-02T05:38:00Z,5.00,,3.79,6.00,10.00,14.00,22.00,22.00,14.00,,,
2025-10-02T22:34:00Z,5.00,,3.79,6.00,12.51,14.00,22.00,22.00,14.00,,,
2025-10-03T00:56:00Z,4.50,,4.00,6.00,12.51,14.00,22.00,22.00,14.00,,,
2025-10-03T04:42:00Z,4.50,,4.00,6.00,12.51,14.00,21.09,22.00,14.00,,,
2025-10-03T15:51:00Z,4.50,,4.00,6.00,12.51,14.00,22.00,22.00,14.00,,,
2025-10-03T15:52:00Z,4.50,,4.00,6.00,12.51,14.00,22.00,35.00,14.00,,,
2025-10-03T19:29:00Z,4.50,,4.00,6.00,12.51,14.00,22.00,35.00,14.00,,,
2025-10-03T19:44:00Z,5.16,,4.00,6.00,12.51,14.00,22.00,35.00,14.00,,,
2025-10-03T19:48:00Z,4.00,,4.00,6.00,12.51,14.00,22.00,35.00,14.00,,,
2025-10-04T00:22:00Z,4.00,,4.00,6.00,12.51,14.00,22.00,19.95,14.00,,,
2025-10-04T02:37:00Z,4.00,,4.00,6.00,12.51,14.80,22.00,19.95,14.00,,,
2025-10-04T12:10:00Z,4.00,,4.00,6.00,12.51,14.15,22.00,19.95,14.00,,,
2025-10-04T13:40:00Z,4.00,,4.00,6.00,12.51,14.15,22.00,19.95,4.00,,,
2025-10-05T02:21:00Z,4.00,,4.00,7.07,12.51,14.15,22.00,19.95,4.00,,,
2025-10-06T00:13:00Z,4.00,,4.00,7.07,12.51,14.15,22.00,19.95,4.00,,,
2025-10-06T13:16:00Z,4.00,,4.00,7.07,12.51,14.15,22.00,19.95,3.00,,,
2025-10-06T13:54:00Z,4.00,,4.77,7.07,12.51,14.15,22.00,19.95,3.00,,,
2025-10-06T18:11:00Z,4.00,,4.77,7.07,12.51,14.15,22.00,19.95,3.00,,,
2025-10-07T00:38:00Z,4.00,,4.77,7.07,12.51,15.00,22.00,19.95,3.00,,,
2025-10-08T03:29:00Z,4.00,3.00,4.77,7.07,12.51,15.00,22.00,19.95,3.00,,,
2025-10-08T17:16:00Z,4.00,3.00,4.77,7.07,12.51,15.00,22.00,19.95,12.00,,,
2025-10-08T17:50:00Z,4.00,3.00,4.77,7.07,12.51,15.00,22.00,35.00,12.00,,,
2025-10-08T18:56:00Z,5.00,3.00,4.77,7.07,12.51,15.00,22.00,35.00,12.00,,,
2025-10-08T20:03:00Z,5.00,3.00,4.77,7.07,12.51,15.00,22.00,34.00,12.00,,,
2025-10-09T06:48:00Z,5.00,3.00,4.77,7.07,12.51,15.00,22.00,34.00,12.00,,,
2025-10-09T18:25:00Z,5.00,3.00,4.77,7.07,12.51,15.00,21.00,34.00,12.00,,,
2025-10-10T16:19:00Z,5.00,3.00,4.77,7.07,12.51,15.00,21.00,34.00,12.00,,,
2025-10-11T03:10:00Z,5.00,3.00,4.77,7.07,12.51,15.00,22.00,34.00,12.00,,,
2025-10-13T02:14:00Z,6.88,3.00,4.77,7.07,12.51,15.00,22.00,34.00,12.00,,,
2025-10-13T03:22:00Z,6.88,3.00,4.77,7.07,12.51,15.00,22.00,34.00,12.00,,,
2025-10-13T18:11:00Z,6.88,3.00,4.77,7.07,12.51,15.00,22.00,34.00,12.00,,,3.00
2025-10-13T20:16:00Z,12.62,3.00,4.77,7.07,12.51,15.00,22.00,34.00,12.00,,,3.00
2025-10-16T02:10:00Z,12.62,3.00,4.77,7.07,12.51,15.00,22.00,34.00,12.00,,,3.00
2025-10-16T04:49:00Z,12.62,3.00,6.00,8.00,12.51,15.00,22.00,34.00,12.00,,,3.00
2025-10-16T04:51:00Z,12.62,3.00,6.00,8.00,14.00,15.00,22.00,34.00,12.00,,,3.00
2025-10-17T15:19:00Z,12.62,3.00,6.00,8.00,14.00,15.00,22.00,34.00,12.00,,,3.00
2025-10-17T18:16:00Z,12.62,3.00,6.00,8.00,14.00,15.00,22.00,30.00,12.00,,,3.00
2025-10-17T18:43:00Z,12.62,3.00,6.00,8.00,14.00,15.00,22.00,30.00,12.00,,,3.00
2025-10-17T19:16:00Z,12.62,3.00,6.00,8.00,14.00,15.00,22.00,30.00,12.00,,,3.00
2025-10-17T20:19:00Z,12.62,3.00,6.00,8.00,14.00,15.00,22.00,30.00,12.00,,,3.00
2025-10-17T20:20:00Z,12.62,3.00,6.00,8.00,13.00,15.00,22.00,30.00,12.00,,,3.00
2025-10-17T21:15:00Z,12.62,3.00,6.00,5.00,13.00,15.00,22.00,30.00,12.00,,,3.00
2025-10-17T21:43:00Z,12.62,3.00,6.00,5.00,13.00,16.00,22.00,30.00,12.00,,,3.00
2025-10-17T21:50:00Z,12.62,3.00,6.00,5.00,13.00,16.00,22.00,30.00,12.00,,,3.00
2025-10-17T22:00:00Z,12.62,3.00,6.00,5.00,13.00,16.00,22.00,30.00,12.00,,,3.00
2025-10-17T22:41:00Z,12.62,3.00,6.00,5.00,13.00,16.00,22.00,30.00,12.00,,,3.00
2025-10-18T04:21:00Z,12.62,3.00,6.00,5.00,13.00,16.00,22.00,30.00,12.00,,,3.00
2025-10-18T04:38:00Z,12.62,3.00,6.00,5.00,13.00,16.00,22.00,30.00,12.00,,,3.00
2025-10-18T14:13:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,,,3.00
2025-10-18T14:41:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,,,4.00
2025-10-18T15:24:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,,,4.00
2025-10-18T15:40:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,,,4.00
2025-10-18T18:10:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,,,4.00
2025-10-18T21:46:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,,,4.00
2025-10-19T00:59:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,8.00,,4.00
2025-10-19T01:53:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,8.00,,4.00
2025-10-19T03:22:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,8.00,,4.00
2025-10-19T04:48:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,8.00,,4.00
2025-10-19T05:22:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,8.00,,4.00
2025-10-19T06:00:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,8.00,5.00,4.00
2025-10-19T06:01:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,8.00,5.00,5.00
2025-10-19T06:04:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,8.00,5.00,5.00
2025-10-19T06:05:00Z,12.62,3.00,6.00,5.00,16.00,16.00,22.00,30.00,12.00,8.00,5.00,5.00
2025-10-19T12:21:00Z,12.62,3.00,6.00,5.00,16.00,16.00,22.00,30.00,12.00,8.00,5.00,5.00
2025-10-19T13:18:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,8.00,5.00,5.00
2025-10-19T13:46:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,12.00,8.00,5.00,5.00
2025-10-19T14:23:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,6.00,8.00,5.00,5.00
2025-10-19T15:19:00Z,12.62,3.00,6.00,5.00,15.00,16.00,22.00,30.00,6.00,8.00,5.00,5.00
