timestamp,$110000 or above,$120000 or above,$125000 or above,$130000 or above,$135000 or above
2025-07-16T02:40:00Z,,,,18.98,
2025-07-16T02:44:00Z,,,11.00,18.98,68.06
2025-07-16T03:39:00Z,,,11.00,18.98,68.00
2025-07-16T04:59:00Z,,,11.00,21.23,68.00
2025-07-16T06:00:00Z,,,13.37,21.23,68.00
2025-07-16T12:46:00Z,,,13.37,21.23,68.00
2025-07-16T13:50:00Z,,,13.00,21.23,68.00
2025-07-16T15:18:00Z,,,13.00,21.00,68.00
2025-07-16T19:44:00Z,,,13.00,21.00,67.79
2025-07-16T20:22:00Z,,,12.52,21.00,67.79
2025-07-16T20:48:00Z,,,12.52,20.00,67.79
2025-07-16T21:15:00Z,,,12.52,20.00,68.28
2025-07-16T23:46:00Z,,,14.38,20.00,68.28
2025-07-17T00:37:00Z,,,14.38,19.54,68.28
2025-07-17T23:37:00Z,,,14.38,18.78,68.28
2025-07-17T23:54:00Z,,,14.38,18.78,67.00
2025-07-18T01:18:00Z,,,13.54,18.78,67.00
2025-07-18T03:28:00Z,,,13.54,19.00,67.00
2025-07-18T04:49:00Z,,,13.54,21.91,67.00
2025-07-18T05:24:00Z,,,13.54,21.91,65.17
2025-07-18T06:21:00Z,,,14.45,21.91,65.17
2025-07-18T13:05:00Z,,,14.45,21.91,65.00
2025-07-18T13:49:00Z,,,16.00,21.91,65.00
2025-07-18T16:18:00Z,,,16.00,23.24,65.00
2025-07-20T05:47:00Z,,,35.00,23.24,65.00
2025-07-20T12:13:00Z,,,35.00,23.24,65.00
2025-08-01T20:03:00Z,,,35.00,99.00,65.00
2025-08-01T20:04:00Z,,,99.00,99.00,1.00
2025-08-01T20:05:00Z,,,99.00,99.00,1.00
2025-08-01T20:06:00Z,,,99.00,99.00,1.00
2025-08-01T20:07:00Z,,,99.00,99.00,1.00
2025-08-01T20:08:00Z,,,99.00,99.00,1.00
2025-08-01T20:09:00Z,,,99.00,99.00,1.00
2025-08-01T20:10:00Z,,,99.00,99.00,1.00
2025-08-01T20:11:00Z,,,99.00,99.00,1.00
2025-08-01T20:12:00Z,,,99.00,99.00,1.00
2025-08-01T20:13:00Z,,,99.00,99.00,1.00
2025-08-01T20:14:00Z,,,99.00,99.00,1.00
2025-08-01T20:15:00Z,,,99.00,99.00,1.00
2025-08-01T20:16:00Z,,,99.00,99.00,1.00
2025-08-01T20:17:00Z,,,99.00,99.00,1.00
2025-08-01T20:18:00Z,,,99.00,99.00,1.00
2025-08-01T20:19:00Z,,,99.00,99.00,1.00
2025-08-01T20:20:00Z,,,99.00,99.00,1.00
2025-08-01T20:21:00Z,,,99.00,99.00,1.00
2025-08-01T20:22:00Z,,,99.00,99.00,1.00
2025-08-01T20:23:00Z,,,99.00,99.00,1.00
2025-08-01T20:24:00Z,,,99.00,99.00,1.00
2025-08-01T20:25:00Z,,,99.00,99.00,1.00
2025-08-01T20:26:00Z,,,99.00,99.00,1.00
2025-08-01T20:27:00Z,,,99.00,99.00,1.00
2025-08-01T20:28:00Z,,,99.00,99.00,1.00
2025-08-01T20:29:00Z,,,99.00,99.00,1.00
2025-08-01T20:30:00Z,,,99.00,99.00,1.00
2025-08-01T20:31:00Z,,,99.00,99.00,1.00
2025-08-01T20:32:00Z,,,99.00,99.00,1.00
2025-08-01T20:33:00Z,,,99.00,99.00,1.00
2025-08-01T20:34:00Z,,,99.00,99.00,1.00
2025-08-01T20:35:00Z,,,99.00,99.00,1.00
2025-08-01T20:36:00Z,,,99.00,99.00,1.00
2025-08-01T20:37:00Z,,,99.00,99.00,1.00
2025-08-01T20:38:00Z,,,99.00,99.00,1.00
2025-08-01T20:39:00Z,,,99.00,99.00,1.00
2025-08-01T20:40:00Z,,,99.00,99.00,1.00
2025-08-01T20:41:00Z,,,99.00,99.00,1.00
2025-08-01T20:42:00Z,,,99.00,99.00,1.00
2025-08-01T20:43:00Z,,,99.00,99.00,1.00
2025-08-01T20:44:00Z,,,99.00,99.00,1.00
2025-08-01T20:45:00Z,,,99.00,99.00,1.00
2025-08-01T20:46:00Z,,,99.00,99.00,1.00
2025-08-01T20:47:00Z,,,99.00,99.00,1.00
2025-08-01T20:48:00Z,,,99.00,99.00,1.00
2025-08-01T20:49:00Z,,,99.00,99.00,1.00
2025-08-01T20:50:00Z,,,99.00,99.00,1.00
2025-08-01T20:51:00Z,,,99.00,99.00,1.00
2025-08-01T20:52:00Z,,,99.00,99.00,1.00
2025-08-01T20:53:00Z,,,99.00,99.00,1.00
2025-08-01T20:54:00Z,,,99.00,99.00,1.00
2025-08-01T20:55:00Z,,,99.00,99.00,1.00
2025-08-01T20:56:00Z,,,99.00,99.00,1.00
2025-08-01T20:57:00Z,,,99.00,99.00,1.00
2025-08-01T20:58:00Z,,,99.00,99.00,1.00
2025-08-01T20:59:00Z,,,99.00,99.00,1.00
2025-08-01T21:00:00Z,,,99.00,99.00,1.00
2025-08-01T21:01:00Z,,,99.00,99.00,1.00
2025-08-01T21:02:00Z,,,99.00,99.00,1.00
2025-08-01T21:03:00Z,,,99.00,99.00,1.00
