timestamp,86° or below,87° to 88°,89° to 90°,91° to 92°,93° to 94°,95° or above
2025-07-25T20:51:00Z,50.00,,,,99.00,99.00
2025-07-25T20:52:00Z,5.90,99.00,92.83,92.09,94.19,95.11
2025-07-25T20:53:00Z,97.97,98.28,5.05,2.96,1.35,2.90
2025-07-25T20:54:00Z,93.77,89.09,1.00,1.00,6.07,12.66
2025-07-25T20:55:00Z,91.73,94.22,1.00,1.00,14.72,31.68
2025-07-25T20:56:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:06:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:07:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:08:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:09:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:10:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:11:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:12:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:13:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:14:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:15:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:16:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:17:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:18:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:19:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:20:00Z,93.70,76.19,1.00,1.00,7.20,30.05
2025-07-26T04:22:00Z,50.00,43.55,1.00,1.00,41.00,59.05
2025-07-26T04:23:00Z,66.94,53.80,1.00,1.00,42.00,49.60
2025-07-26T04:24:00Z,80.24,26.62,1.00,1.00,77.71,26.94
2025-07-26T04:25:00Z,81.64,79.80,1.00,1.00,48.00,25.20
2025-07-26T04:26:00Z,41.34,51.60,1.00,1.00,56.58,34.24
2025-07-26T04:28:00Z,48.20,50.56,1.00,1.00,42.57,44.50
2025-07-26T04:29:00Z,47.91,44.36,1.00,1.00,41.95,58.48
2025-07-26T04:30:00Z,64.07,27.56,1.00,1.00,12.48,47.13
2025-07-26T04:31:00Z,73.72,18.32,1.00,1.00,1.62,24.25
2025-07-26T04:32:00Z,59.92,39.70,1.00,1.00,1.00,42.91
2025-07-26T04:33:00Z,61.97,55.15,1.00,1.00,1.00,50.86
2025-07-26T04:34:00Z,61.34,26.45,1.00,1.00,1.00,51.65
2025-07-26T04:35:00Z,69.13,34.27,1.00,1.00,1.00,36.42
2025-07-26T04:36:00Z,65.84,36.95,1.00,1.00,1.00,44.60
2025-07-26T04:37:00Z,67.13,44.15,1.00,1.00,1.00,46.00
2025-07-26T04:38:00Z,62.68,51.61,1.00,1.00,1.00,49.45
2025-07-26T04:39:00Z,61.97,62.07,1.00,1.00,1.00,39.46
2025-07-26T04:40:00Z,56.57,42.40,1.00,1.00,1.00,42.64
2025-07-26T04:41:00Z,60.60,53.40,1.00,1.00,1.00,58.25
2025-07-26T04:42:00Z,68.80,74.30,1.00,1.00,1.00,40.17
2025-07-26T04:43:00Z,60.85,61.82,1.00,1.00,1.00,45.32
2025-07-26T04:44:00Z,65.77,34.57,1.00,1.00,1.00,43.53
2025-07-26T04:45:00Z,57.38,59.07,1.00,1.00,1.00,45.42
2025-07-26T04:46:00Z,64.25,39.07,1.00,1.00,1.00,34.46
2025-07-26T04:47:00Z,54.81,59.42,1.00,1.00,1.00,58.35
2025-07-26T04:48:00Z,62.28,69.43,1.00,1.00,1.00,41.39
2025-07-26T04:49:00Z,59.09,56.95,1.00,1.00,1.00,60.50
2025-07-26T04:50:00Z,61.01,63.26,1.00,1.00,1.00,38.33
2025-07-26T04:51:00Z,62.88,45.69,1.00,1.00,1.00,47.10
2025-07-26T04:52:00Z,58.84,54.00,1.00,1.00,1.00,50.72
2025-07-26T04:53:00Z,61.50,62.80,1.00,1.00,1.00,43.07
2025-07-26T04:54:00Z,60.31,54.70,1.00,1.00,1.00,45.00
2025-07-26T04:55:00Z,59.75,56.82,1.00,1.00,1.00,33.35
2025-07-26T04:56:00Z,60.00,58.30,1.00,1.00,1.00,41.18
2025-07-26T04:57:00Z,62.35,55.36,1.00,1.00,1.00,43.33
2025-07-26T04:58:00Z,58.33,47.20,1.00,1.00,1.00,53.30
2025-07-26T04:59:00Z,57.69,42.38,1.00,1.00,1.00,47.31
2025-07-26T05:00:00Z,57.33,62.60,1.00,1.00,1.00,42.94
2025-07-26T05:01:00Z,58.30,48.89,1.00,1.00,1.00,47.66
2025-07-26T05:02:00Z,58.30,48.89,1.00,1.00,1.00,47.66
2025-07-26T05:03:00Z,58.43,49.55,1.00,1.00,1.00,48.92
2025-07-26T05:04:00Z,57.25,59.00,1.00,1.00,1.00,50.85
2025-07-26T05:05:00Z,58.28,54.31,1.00,1.00,1.00,45.82
2025-07-26T05:06:00Z,59.42,50.25,1.00,1.00,1.00,44.07
2025-07-26T05:07:00Z,59.46,61.23,1.00,1.00,1.00,53.90
2025-07-26T05:08:00Z,59.58,54.03,1.00,1.00,1.00,50.91
2025-07-26T05:09:00Z,59.72,52.97,1.00,1.00,1.00,46.00
