timestamp,82° or below,83° to 84°,85° to 86°,87° to 88°,89° to 90°,91° or above
2025-07-25T20:51:00Z,99.00,99.00,99.00,99.00,99.00,99.00
2025-07-25T20:52:00Z,3.27,99.00,95.74,92.46,84.43,99.00
2025-07-25T20:53:00Z,98.43,99.00,3.75,1.00,1.00,99.00
2025-07-25T20:54:00Z,91.70,99.00,1.00,1.87,3.05,99.00
2025-07-25T20:55:00Z,92.16,99.00,1.00,3.50,3.89,99.00
2025-07-25T20:56:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:06:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:07:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:08:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:09:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:10:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:11:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:12:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:13:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:14:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:15:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:16:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:17:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:18:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:19:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:20:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:21:00Z,89.91,99.00,1.36,3.56,10.12,99.00
2025-07-26T04:22:00Z,37.17,99.00,51.05,49.04,39.30,99.00
2025-07-26T04:23:00Z,38.72,99.00,48.23,48.50,21.46,99.00
2025-07-26T04:24:00Z,48.84,98.03,70.05,83.14,74.11,99.00
2025-07-26T04:25:00Z,79.41,95.74,65.35,38.10,51.93,99.00
2025-07-26T04:26:00Z,56.40,88.17,53.00,44.66,37.03,99.00
2025-07-26T04:28:00Z,55.81,77.52,37.89,42.28,35.48,99.00
2025-07-26T04:29:00Z,41.87,62.24,54.16,43.23,49.37,99.00
2025-07-26T04:30:00Z,48.02,56.20,58.27,48.13,47.35,99.00
2025-07-26T04:31:00Z,60.36,75.75,14.00,61.12,13.00,99.00
2025-07-26T04:32:00Z,53.71,11.38,51.88,45.15,37.41,99.00
2025-07-26T04:33:00Z,52.14,1.00,61.59,57.14,44.40,99.00
2025-07-26T04:34:00Z,55.64,1.00,45.72,39.54,49.20,99.00
2025-07-26T04:35:00Z,72.23,1.00,37.57,53.90,48.65,99.00
2025-07-26T04:36:00Z,59.97,1.00,45.63,48.46,41.44,99.00
2025-07-26T04:37:00Z,64.00,1.00,57.37,36.13,52.26,99.00
2025-07-26T04:38:00Z,58.47,1.00,60.82,51.41,49.85,99.00
2025-07-26T04:39:00Z,49.16,1.00,51.75,47.84,37.07,99.00
2025-07-26T04:40:00Z,54.31,1.00,50.52,52.50,37.45,99.00
2025-07-26T04:41:00Z,55.15,1.00,47.60,64.12,33.04,99.00
2025-07-26T04:42:00Z,56.40,1.00,57.20,45.31,43.27,99.00
2025-07-26T04:43:00Z,58.48,1.00,57.42,71.00,44.02,99.00
2025-07-26T04:44:00Z,67.50,1.00,61.75,55.50,40.50,99.00
2025-07-26T04:45:00Z,47.82,1.00,43.53,59.35,50.00,99.00
2025-07-26T04:46:00Z,54.00,1.00,54.00,69.44,33.13,99.00
2025-07-26T04:47:00Z,62.36,1.00,55.70,70.69,55.72,99.00
2025-07-26T04:48:00Z,48.42,1.00,54.36,57.70,39.91,99.00
2025-07-26T04:49:00Z,49.03,1.00,49.06,52.00,36.20,99.00
2025-07-26T04:50:00Z,43.70,1.00,57.25,60.18,44.05,99.00
2025-07-26T04:51:00Z,46.00,1.00,67.14,50.28,34.50,99.00
2025-07-26T04:52:00Z,49.04,1.00,57.59,54.09,43.03,99.00
2025-07-26T04:53:00Z,53.12,1.00,52.30,55.61,48.14,99.00
2025-07-26T04:54:00Z,47.96,1.00,56.45,54.28,36.78,99.00
2025-07-26T04:55:00Z,62.42,1.00,57.00,67.47,40.00,99.00
2025-07-26T04:56:00Z,51.55,1.00,60.82,65.95,48.72,99.00
2025-07-26T04:57:00Z,55.36,1.00,48.40,49.21,36.20,99.00
2025-07-26T04:58:00Z,48.10,1.00,52.46,51.11,45.21,99.00
2025-07-26T04:59:00Z,55.03,1.00,47.19,55.23,42.28,99.00
2025-07-26T05:00:00Z,57.42,1.00,51.12,39.36,41.90,99.00
2025-07-26T05:01:00Z,53.22,1.00,52.86,59.07,41.00,99.00
2025-07-26T05:02:00Z,48.50,1.00,58.22,80.37,51.60,99.00
2025-07-26T05:03:00Z,51.46,1.00,55.48,57.64,43.90,99.00
2025-07-26T05:04:00Z,54.64,1.00,69.54,59.34,42.83,99.00
2025-07-26T05:05:00Z,53.89,1.00,55.48,52.00,39.00,99.00
2025-07-26T05:06:00Z,51.76,1.00,77.07,55.48,36.65,99.00
2025-07-26T05:07:00Z,48.66,1.00,69.55,50.00,38.92,99.00
2025-07-26T05:08:00Z,50.20,1.00,67.26,57.09,38.30,99.00
2025-07-26T05:09:00Z,52.31,1.00,61.68,59.32,42.09,99.00
2025-07-26T05:10:00Z,51.77,1.00,67.55,67.28,38.70,99.00
2025-07-26T05:11:00Z,56.29,1.00,71.48,54.21,39.73,99.00
2025-07-26T05:12:00Z,49.00,1.00,57.33,47.75,40.88,99.00
2025-07-26T05:13:00Z,57.04,1.00,72.23,70.11,42.42,99.00
2025-07-26T05:14:00Z,48.53,1.00,69.22,34.69,36.75,99.00
2025-07-26T05:15:00Z,50.09,1.00,54.93,32.26,39.21,99.00
2025-07-26T05:16:00Z,49.22,1.00,53.76,38.53,30.54,99.00
2025-07-26T05:17:00Z,52.93,1.00,45.67,41.20,18.94,99.00
2025-07-26T05:18:00Z,50.21,1.00,61.85,45.50,5.50,99.00
2025-07-26T05:19:00Z,52.16,1.00,53.87,34.80,1.00,99.00
2025-07-26T05:20:00Z,51.31,1.00,49.74,29.31,3.31,99.00
2025-07-26T05:21:00Z,51.78,1.00,40.00,41.38,26.50,99.00
2025-07-26T05:22:00Z,50.06,1.00,55.45,48.33,26.02,99.00
2025-07-26T05:23:00Z,51.54,1.00,56.89,58.33,17.35,99.00
2025-07-26T05:24:00Z,51.55,1.00,50.11,59.86,15.37,99.00
2025-07-26T05:25:00Z,52.31,1.00,50.12,36.17,23.73,99.00
2025-07-26T05:26:00Z,50.85,1.00,62.00,42.90,23.50,99.00
2025-07-26T05:27:00Z,50.27,1.00,47.84,60.92,22.86,99.00
2025-07-26T05:28:00Z,52.00,1.00,37.66,99.00,24.92,99.00
2025-07-26T05:29:00Z,49.83,1.00,46.67,99.00,21.22,99.00
2025-07-26T05:30:00Z,48.47,1.00,56.57,99.00,22.66,99.00
2025-07-26T05:31:00Z,50.93,1.00,49.78,99.00,27.41,99.00
2025-07-26T05:32:00Z,51.39,1.00,41.82,99.00,21.14,99.00
2025-07-26T05:33:00Z,51.86,1.00,42.05,99.00,20.00,99.00
2025-07-26T05:34:00Z,51.53,1.00,41.57,99.00,29.46,99.00
2025-07-26T05:35:00Z,51.91,1.00,52.50,99.00,20.68,99.00
2025-07-26T05:36:00Z,51.87,1.00,50.05,99.00,19.80,99.00
