timestamp,64° or below,65° to 66°,67° to 68°,69° to 70°,71° to 72°,73° or above
2025-12-15T14:53:00Z,10.00,18.00,29.00,38.00,14.00,9.00
2025-12-15T14:54:00Z,10.00,18.00,29.00,38.00,14.00,9.00
2025-12-15T14:55:00Z,10.33,18.00,29.44,38.93,14.05,9.00
2025-12-15T14:56:00Z,11.00,18.96,30.00,39.00,15.00,9.00
2025-12-15T14:57:00Z,11.00,19.00,30.00,39.00,15.00,9.02
2025-12-15T14:58:00Z,11.00,19.00,30.00,39.00,15.00,10.00
2025-12-15T14:59:00Z,11.00,19.00,30.00,39.00,15.00,10.00
2025-12-15T15:00:00Z,11.00,19.00,30.00,39.00,15.00,10.00
2025-12-15T15:01:00Z,11.00,19.00,30.00,39.00,15.00,10.00
2025-12-15T15:05:00Z,11.00,19.00,30.00,35.00,15.00,7.00
2025-12-15T15:06:00Z,11.00,25.00,26.14,35.00,14.00,7.00
2025-12-15T15:07:00Z,11.00,25.00,27.00,35.86,14.25,7.00
2025-12-15T15:08:00Z,12.00,25.47,27.00,36.00,15.00,7.86
2025-12-15T15:09:00Z,12.98,26.00,27.00,36.00,15.00,8.00
2025-12-15T15:10:00Z,13.00,26.00,27.00,36.00,15.00,8.00
2025-12-15T15:11:00Z,13.00,26.00,27.00,36.00,15.00,8.00
2025-12-15T15:12:00Z,12.11,26.00,27.00,36.00,15.00,8.00
2025-12-15T15:13:00Z,12.18,25.00,26.00,35.00,14.00,8.00
2025-12-15T15:14:00Z,12.00,25.00,26.00,35.00,14.00,8.00
2025-12-15T15:15:00Z,12.68,25.67,26.88,35.00,14.00,7.00
2025-12-15T15:16:00Z,13.00,26.00,27.00,35.86,14.29,7.00
2025-12-15T15:17:00Z,13.00,26.00,27.00,36.00,15.00,7.27
2025-12-15T15:18:00Z,13.00,26.00,26.03,36.00,15.00,8.00
2025-12-15T15:19:00Z,13.00,26.00,27.00,36.00,15.00,8.00
2025-12-15T15:20:00Z,13.00,26.00,27.00,36.00,15.00,8.00
2025-12-15T15:21:00Z,13.00,26.00,27.00,36.00,14.00,8.00
2025-12-15T15:22:00Z,12.09,26.00,27.00,36.00,14.00,7.00
