timestamp,Above 0.1 inches,Above 3.0 inches,Above 6.0 inches,Above 10.0 inches,Above 15.0 inches,Above 20.0 inches,Above 25.0 inches
2026-01-23T05:20:00Z,,,95.00,,,29.00,12.00
2026-01-23T05:21:00Z,,99.00,95.00,,54.00,29.22,12.00
2026-01-23T05:22:00Z,,99.00,95.00,,54.00,29.22,12.00
2026-01-23T05:23:00Z,,99.00,95.00,,54.00,29.00,12.00
2026-01-23T05:24:00Z,,99.00,95.00,,54.00,29.00,12.00
2026-01-23T05:25:00Z,,99.00,95.00,79.00,54.06,29.00,12.00
2026-01-23T05:26:00Z,,99.00,95.00,79.00,54.09,29.00,12.00
2026-01-23T05:27:00Z,,99.00,96.00,79.00,54.00,29.00,12.87
2026-01-23T05:28:00Z,,99.00,96.00,79.00,54.00,29.00,13.00
2026-01-23T05:29:00Z,,99.00,95.74,79.00,54.00,29.00,13.00
2026-01-23T05:30:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:31:00Z,,99.00,95.00,79.00,54.00,30.00,12.00
2026-01-23T05:32:00Z,,99.00,95.00,79.00,54.00,30.00,12.00
2026-01-23T05:33:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:34:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:35:00Z,,99.00,95.00,79.00,54.00,30.00,12.00
2026-01-23T05:36:00Z,,99.00,95.00,79.00,54.00,30.00,12.00
2026-01-23T05:37:00Z,,99.00,95.00,79.00,54.00,29.48,12.00
2026-01-23T05:38:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:39:00Z,,99.00,96.00,79.00,54.00,29.00,12.00
2026-01-23T05:40:00Z,,99.00,96.00,79.00,54.00,29.00,12.00
2026-01-23T05:41:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:42:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:43:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:44:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:45:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:46:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:47:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:48:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:49:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:50:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:51:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:52:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:53:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T05:54:00Z,,99.00,95.00,79.04,54.00,29.00,12.00
2026-01-23T05:55:00Z,,99.00,95.00,79.04,54.00,29.00,12.00
2026-01-23T05:56:00Z,,99.00,95.00,79.04,54.00,29.00,12.00
2026-01-23T05:57:00Z,,99.00,95.00,79.04,54.00,29.00,12.00
2026-01-23T05:58:00Z,,99.00,95.00,79.04,54.00,29.00,12.00
2026-01-23T05:59:00Z,,99.00,95.00,79.04,54.00,29.00,12.00
2026-01-23T06:00:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T06:01:00Z,,99.00,95.00,79.00,54.00,29.00,12.00
2026-01-23T06:02:00Z,,99.00,95.00,79.00,55.00,29.00,12.00
2026-01-23T06:03:00Z,,99.00,95.00,79.00,55.00,29.00,12.00
2026-01-23T06:04:00Z,,99.00,95.00,79.00,55.00,29.00,12.00
2026-01-23T06:05:00Z,,99.00,95.00,79.00,55.00,29.00,12.93
2026-01-23T06:06:00Z,,99.00,95.00,79.00,55.00,29.00,12.93
2026-01-23T06:07:00Z,,99.00,95.00,79.00,55.00,29.00,12.93
2026-01-23T06:08:00Z,,99.00,95.00,79.00,55.00,29.00,13.00
2026-01-23T06:09:00Z,,99.00,95.00,79.00,55.00,29.00,13.00
2026-01-23T06:10:00Z,,99.00,95.00,79.00,55.00,29.00,13.00
2026-01-23T06:11:00Z,,99.00,95.00,79.00,55.00,29.00,13.00
2026-01-23T06:12:00Z,,99.00,95.00,79.00,55.00,29.00,13.00
2026-01-23T06:13:00Z,,99.00,95.00,79.00,55.00,29.00,13.00
2026-01-23T06:14:00Z,,99.00,95.00,79.00,55.00,29.00,13.00
2026-01-23T06:15:00Z,,99.00,95.00,79.00,55.00,29.00,13.00
2026-01-23T06:16:00Z,,99.00,95.00,79.00,55.00,29.00,13.00
