timestamp,Above 2.0 inches,Above 4.0 inches,Above 6.0 inches,Above 8.0 inches,Above 10.0 inches,Above 12.0 inches,Above 15.0 inches,Above 18.0 inches,Above 20.0 inches,Above 24.0 inches
2026-01-23T22:45:00Z,,,,,,,,15.00,,7.00
2026-01-23T22:46:00Z,,,,,,,,15.00,,7.00
2026-01-23T22:47:00Z,,,,,,,,15.00,,7.00
2026-01-23T22:48:00Z,,,,,,,,15.00,10.00,7.00
2026-01-23T22:49:00Z,,,,,,,,15.00,10.00,7.00
2026-01-23T22:50:00Z,,,,,,,,15.00,10.00,7.00
2026-01-23T22:51:00Z,,,,,,,,15.00,10.00,7.00
2026-01-23T22:52:00Z,,,,,,,,15.00,10.00,7.00
2026-01-23T22:53:00Z,,,,,,,,15.87,10.00,7.00
2026-01-23T22:54:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T22:55:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T22:56:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T22:57:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T22:58:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T22:59:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T23:00:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T23:01:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T23:03:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T23:04:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T23:20:00Z,,,,,,,,16.00,10.00,7.00
2026-01-23T23:21:00Z,,,86.15,,,43.29,25.00,16.00,11.00,7.00
2026-01-23T23:22:00Z,,,87.00,,,43.29,25.00,16.00,11.00,7.00
2026-01-23T23:23:00Z,,,87.00,,,43.00,25.00,16.00,11.00,7.00
2026-01-23T23:24:00Z,,,87.00,,,43.00,25.00,16.00,11.00,7.00
2026-01-23T23:25:00Z,,,87.00,,,43.00,25.00,16.00,11.00,7.00
2026-01-23T23:26:00Z,,,87.00,,,43.00,25.00,16.00,11.00,7.00
2026-01-23T23:27:00Z,,,87.00,,,43.00,25.00,16.00,11.00,7.00
2026-01-23T23:28:00Z,,,87.00,,,43.00,25.00,16.00,11.00,7.95
2026-01-23T23:29:00Z,,,87.00,,,43.00,25.00,16.00,11.00,8.00
2026-01-23T23:30:00Z,,,87.00,,,43.00,25.00,16.00,11.00,8.00
