date,approve,disapprove
"Feb 6, 2026",42.3%,54.9%
"Jan 27, 2025",50.5%,44.3%
"Jan 28, 2025",50.4%,44.5%
"Jan 29, 2025",50.3%,44.8%
"Jan 30, 2025",50.2%,44.6%
"Jan 31, 2025",49.9%,44.7%
"Feb 1, 2025",49.9%,44.7%
"Feb 2, 2025",49.6%,44.6%
"Feb 3, 2025",49.4%,44.8%
"Feb 4, 2025",49.2%,44.8%
"Feb 5, 2025",49.0%,44.9%
"Feb 6, 2025",48.7%,45.0%
"Feb 7, 2025",48.5%,45.1%
"Feb 8, 2025",48.7%,45.2%
"Feb 9, 2025",48.9%,45.3%
"Feb 10, 2025",49.0%,45.5%
"Feb 11, 2025",48.8%,45.7%
"Feb 12, 2025",48.7%,46.1%
"Feb 13, 2025",48.8%,46.0%
"Feb 14, 2025",48.8%,46.0%
"Feb 15, 2025",48.8%,46.0%
"Feb 16, 2025",48.8%,46.0%
"Feb 17, 2025",48.7%,46.1%
"Feb 18, 2025",49.0%,46.5%
"Feb 19, 2025",49.1%,47.1%
"Feb 20, 2025",49.2%,47.8%
"Feb 21, 2025",49.1%,47.8%
"Feb 22, 2025",49.1%,47.8%
"Feb 23, 2025",49.3%,47.5%
"Feb 24, 2025",49.4%,47.5%
"Feb 25, 2025",49.3%,47.5%
"Feb 26, 2025",49.1%,47.5%
"Feb 27, 2025",48.9%,47.4%
"Feb 28, 2025",48.8%,47.6%
"Mar 1, 2025",48.7%,47.8%
"Mar 2, 2025",48.5%,47.5%
"Mar 3, 2025",48.6%,47.4%
"Mar 4, 2025",48.6%,47.4%
"Mar 5, 2025",48.8%,47.5%
"Mar 6, 2025",48.9%,47.5%
"Mar 7, 2025",48.9%,47.5%
"Mar 8, 2025",48.8%,47.6%
"Mar 9, 2025",48.7%,47.8%
"Mar 10, 2025",48.6%,47.9%
"Mar 11, 2025",48.4%,48.1%
"Mar 12, 2025",48.3%,48.1%
"Mar 13, 2025",47.8%,48.5%
"Mar 14, 2025",47.9%,48.5%
"Mar 15, 2025",48.0%,48.5%
"Mar 16, 2025",48.2%,48.4%
"Mar 17, 2025",47.9%,48.6%
"Mar 18, 2025",47.9%,48.5%
"Mar 19, 2025",47.9%,48.8%
"Mar 20, 2025",47.9%,48.8%
"Mar 21, 2025",47.9%,48.8%
"Mar 22, 2025",47.9%,48.8%
"Mar 23, 2025",47.9%,48.8%
"Mar 24, 2025",47.9%,48.8%
"Mar 25, 2025",48.0%,49.0%
"Mar 26, 2025",48.1%,49.2%
"Mar 27, 2025",47.9%,49.4%
"Mar 28, 2025",47.6%,49.7%
"Mar 29, 2025",47.6%,49.7%
"Mar 30, 2025",47.8%,49.5%
"Mar 31, 2025",47.9%,49.3%
"Apr 1, 2025",47.8%,49.6%
"Apr 2, 2025",47.7%,49.9%
"Apr 3, 2025",47.6%,49.8%
"Apr 4, 2025",47.5%,50.1%
"Apr 5, 2025",47.5%,50.0%
"Apr 6, 2025",47.4%,50.1%
"Apr 7, 2025",47.3%,50.1%
"Apr 8, 2025",47.2%,50.1%
"Apr 9, 2025",47.0%,50.2%
"Apr 10, 2025",46.9%,50.2%
"Apr 11, 2025",46.7%,50.1%
"Apr 12, 2025",46.7%,50.3%
"Apr 13, 2025",46.8%,50.4%
"Apr 14, 2025",46.7%,50.4%
"Apr 15, 2025",46.9%,50.3%
"Apr 16, 2025",46.7%,50.4%
"Apr 17, 2025",46.5%,50.6%
"Apr 18, 2025",46.5%,50.7%
"Apr 19, 2025",46.7%,50.6%
"Apr 20, 2025",46.5%,50.6%
"Apr 21, 2025",46.7%,51.0%
"Apr 22, 2025",46.3%,51.3%
"Apr 23, 2025",46.1%,51.6%
"Apr 24, 2025",46.1%,51.6%
"Apr 25, 2025",45.8%,51.7%
"Apr 26, 2025",45.5%,52.1%
"Apr 27, 2025",45.3%,52.4%
"Apr 28, 2025",45.3%,52.4%
"Apr 29, 2025",45.1%,52.3%
"Apr 30, 2025",45.1%,52.1%
"May 1, 2025",45.2%,51.9%
"May 2, 2025",45.2%,51.7%
"May 3, 2025",45.1%,51.4%
"May 4, 2025",45.1%,51.4%
"May 5, 2025",45.1%,51.2%
"May 6, 2025",45.2%,51.1%
"May 7, 2025",45.1%,51.1%
"May 8, 2025",45.2%,50.9%
"May 9, 2025",45.3%,50.7%
"May 10, 2025",45.5%,50.5%
"May 11, 2025",45.7%,50.3%
"May 12, 2025",45.8%,50.1%
"May 13, 2025",45.9%,50.2%
"May 14, 2025",45.9%,50.1%
"May 15, 2025",45.9%,50.2%
"May 16, 2025",46.1%,50.1%
"May 17, 2025",46.3%,50.0%
"May 18, 2025",46.7%,49.8%
"May 19, 2025",47.1%,49.6%
"May 20, 2025",47.3%,49.1%
"May 21, 2025",47.4%,49.3%
"May 22, 2025",47.6%,49.7%
"May 23, 2025",47.5%,49.9%
"May 24, 2025",47.5%,49.9%
"May 25, 2025",47.5%,49.9%
"May 26, 2025",47.5%,49.8%
"May 27, 2025",47.7%,49.7%
"May 28, 2025",47.8%,49.7%
"May 29, 2025",47.7%,50.1%
"May 30, 2025",47.5%,50.4%
"May 31, 2025",47.3%,50.2%
"Jun 1, 2025",47.1%,50.0%
"Jun 2, 2025",47.3%,49.8%
"Jun 3, 2025",47.5%,49.7%
"Jun 4, 2025",47.5%,49.7%
"Jun 5, 2025",47.4%,49.8%
"Jun 6, 2025",47.5%,49.6%
"Jun 7, 2025",47.6%,49.4%
"Jun 8, 2025",47.4%,49.7%
"Jun 9, 2025",47.3%,49.8%
"Jun 10, 2025",47.1%,49.9%
"Jun 11, 2025",46.8%,50.1%
"Jun 12, 2025",46.8%,50.0%
"Jun 13, 2025",46.7%,50.0%
"Jun 14, 2025",46.6%,50.4%
"Jun 15, 2025",46.5%,50.5%
"Jun 16, 2025",46.5%,50.7%
"Jun 17, 2025",46.5%,51.0%
"Jun 18, 2025",46.3%,51.4%
"Jun 19, 2025",46.3%,51.4%
"Jun 20, 2025",46.4%,51.4%
"Jun 21, 2025",46.9%,50.9%
"Jun 22, 2025",47.1%,50.7%
"Jun 23, 2025",47.2%,50.6%
"Jun 24, 2025",47.0%,50.8%
"Jun 25, 2025",46.8%,50.9%
"Jun 26, 2025",46.9%,51.0%
"Jun 27, 2025",46.6%,50.8%
"Jun 28, 2025",46.6%,50.8%
"Jun 29, 2025",46.6%,50.5%
"Jun 30, 2025",46.5%,50.2%
"Jul 1, 2025",46.5%,50.3%
"Jul 2, 2025",46.4%,50.2%
"Jul 3, 2025",46.3%,50.5%
"Jul 4, 2025",46.5%,50.3%
"Jul 5, 2025",46.6%,49.9%
"Jul 6, 2025",46.6%,49.9%
"Jul 7, 2025",46.5%,50.1%
"Jul 8, 2025",46.4%,50.1%
"Jul 9, 2025",46.3%,50.2%
"Jul 10, 2025",46.0%,50.5%
"Jul 11, 2025",45.6%,50.8%
"Jul 12, 2025",45.4%,50.6%
"Jul 13, 2025",45.2%,50.4%
"Jul 14, 2025",45.4%,50.4%
"Jul 15, 2025",45.3%,50.7%
"Jul 16, 2025",45.5%,50.9%
"Jul 17, 2025",45.7%,51.2%
"Jul 18, 2025",45.8%,51.5%
"Jul 19, 2025",45.8%,51.5%
"Jul 20, 2025",45.5%,52.1%
"Jul 21, 2025",45.3%,52.3%
"Jul 22, 2025",45.5%,52.6%
"Jul 23, 2025",45.6%,52.7%
"Jul 24, 2025",45.5%,52.6%
"Jul 25, 2025",45.4%,52.4%
"Jul 26, 2025",45.6%,52.2%
"Jul 27, 2025",45.9%,52.0%
"Jul 28, 2025",46.2%,51.6%
"Jul 29, 2025",46.3%,51.5%
"Jul 30, 2025",46.3%,51.5%
"Jul 31, 2025",46.3%,51.4%
"Aug 1, 2025",46.3%,51.4%
"Aug 2, 2025",46.2%,51.3%
"Aug 3, 2025",46.1%,51.1%
"Aug 4, 2025",46.0%,51.2%
"Aug 5, 2025",45.9%,51.4%
"Aug 6, 2025",45.8%,51.4%
"Aug 7, 2025",45.9%,51.4%
"Aug 8, 2025",45.9%,51.4%
"Aug 9, 2025",45.8%,51.5%
"Aug 10, 2025",45.7%,51.6%
"Aug 11, 2025",45.8%,51.5%
"Aug 12, 2025",45.9%,51.3%
"Aug 13, 2025",45.7%,51.4%
"Aug 14, 2025",45.6%,51.5%
"Aug 15, 2025",45.5%,51.5%
"Aug 16, 2025",45.7%,51.4%
"Aug 17, 2025",45.8%,51.2%
"Aug 18, 2025",45.8%,51.0%
"Aug 19, 2025",45.8%,51.0%
"Aug 20, 2025",45.8%,50.9%
"Aug 21, 2025",45.8%,50.9%
"Aug 22, 2025",45.9%,50.8%
"Aug 23, 2025",45.9%,50.8%
"Aug 24, 2025",46.0%,50.9%
"Aug 25, 2025",46.1%,50.9%
"Aug 26, 2025",45.8%,51.1%
"Aug 27, 2025",45.5%,51.3%
"Aug 28, 2025",45.8%,51.0%
"Aug 29, 2025",45.8%,50.8%
"Aug 30, 2025",45.8%,50.8%
"Aug 31, 2025",45.8%,50.8%
"Sep 1, 2025",45.6%,50.5%
"Sep 2, 2025",45.5%,50.7%
"Sep 3, 2025",45.6%,50.9%
"Sep 4, 2025",45.4%,51.0%
"Sep 5, 2025",45.4%,50.9%
"Sep 6, 2025",45.4%,50.9%
"Sep 7, 2025",45.4%,51.7%
"Sep 8, 2025",45.4%,51.7%
"Sep 9, 2025",45.5%,51.6%
"Sep 10, 2025",45.6%,51.7%
"Sep 11, 2025",45.7%,51.8%
"Sep 12, 2025",45.9%,51.4%
"Sep 13, 2025",45.9%,51.4%
"Sep 14, 2025",45.9%,51.4%
"Sep 15, 2025",46.0%,51.4%
"Sep 16, 2025",46.0%,51.4%
"Sep 17, 2025",46.2%,51.7%
"Sep 18, 2025",46.3%,52.3%
"Sep 19, 2025",46.3%,52.6%
"Sep 20, 2025",46.3%,52.6%
"Sep 21, 2025",46.3%,52.6%
"Sep 22, 2025",46.1%,52.6%
"Sep 23, 2025",45.8%,52.5%
"Sep 24, 2025",45.3%,52.3%
"Sep 25, 2025",45.4%,52.1%
"Sep 26, 2025",45.3%,52.5%
"Sep 27, 2025",45.3%,52.5%
"Sep 28, 2025",45.1%,52.7%
"Sep 29, 2025",45.0%,52.8%
"Sep 30, 2025",44.8%,53.0%
"Oct 1, 2025",45.1%,52.8%
"Oct 2, 2025",44.9%,53.0%
"Oct 3, 2025",45.1%,52.9%
"Oct 4, 2025",45.3%,52.6%
"Oct 5, 2025",45.1%,52.4%
"Oct 6, 2025",44.9%,52.1%
"Oct 7, 2025",45.0%,52.2%
"Oct 8, 2025",44.9%,52.3%
"Oct 9, 2025",45.1%,52.2%
"Oct 10, 2025",45.3%,51.9%
"Oct 11, 2025",45.3%,51.9%
"Oct 12, 2025",45.4%,52.0%
"Oct 13, 2025",45.5%,51.8%
"Oct 14, 2025",45.4%,51.9%
"Oct 15, 2025",45.4%,51.8%
"Oct 16, 2025",45.6%,51.7%
"Oct 17, 2025",45.4%,51.6%
"Oct 18, 2025",45.4%,51.6%
"Oct 19, 2025",45.4%,51.8%
